"Collection Name","Title#1","Title Type#1","Name#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Date Captured#1","Extent#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Form#2","Form URI#2","Form#3","Form URI#3","Abstract#1","Note#1","Subject Topic#1","Subject Topic URI#1","Subject Name#1","Subject Name URI#1","Subject Geographic#1","Subject Geographic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Name#2","Subject Name URI#2","Subject Geographic#2","Subject Geographic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Name#3","Subject Name URI#3","Subject Geographic#3","Subject Geographic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Name#4","Subject Name URI#4","Subject Geographic#4","Subject Geographic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#5","Subject Name URI#5","Subject Geographic#5","Subject Geographic URI#5","Local Identifier#1","Persistent Identifier#1","Reference Identifier#1","Physical Location#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Ken Dudley Field Slides","Air crew of Globemaster who flew us from Iqaluit to Denver, Colorado for INSTAAR","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1970-04","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of the air crew of the ""Globemaster"" who flew the Institute of Arctic and Alpine Research (INSTAAR) group from Iqaluit to Denver, Colorado.","","Airplanes","http://id.worldcat.org/fast/803053","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Runways (Aeronautics)","http://id.worldcat.org/fast/1101423","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Men","http://id.worldcat.org/fast/1015978","","","Iqaluit (Nunavut, Canada, North and Central America) (airport)","http://vocab.getty.edu/page/tgn/9226140","Flight crews","http://id.worldcat.org/fast/927321","","","","","","","","","","","narv_DudleyK_Harvard_0113.tif","https://doi.org/10.60807/954zqf","658b726bfd604629505ed80b46e1ecb3","COU:5023 | box 1 | folder 1 | sheet 11 | item 4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","226","1255471","5533","narv_DudleyK_Harvard_0113.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~226~1255471"
"Ken Dudley Field Slides","Annual sealift brings year’s provisions to Broughton Island","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1969-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of the annual “Sea Lift” ship delivering supplies to the Broughton Island settlement.","","Ships","http://id.worldcat.org/fast/1116439","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Coasts","http://id.worldcat.org/fast/865801","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Shipping","http://id.worldcat.org/fast/1116352","","","Broughton Island (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/9218563","Human settlements","http://id.worldcat.org/fast/963433","","","","","","","","","","","narv_DudleyK_Harvard_0024.tif","https://doi.org/10.60807/kwncqz","3cf3ef169c3732dc114225d6aa122979","COU:5023 | box 1 | folder 1 | sheet 2 | item 36","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","137","1255560","5533","narv_DudleyK_Harvard_0024.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~137~1255560"
"Ken Dudley Field Slides","Approaching settlement of Broughton Island","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1969-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of Broughton Island settlement taken off the coast.","","Coasts","http://id.worldcat.org/fast/865801","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Human settlements","http://id.worldcat.org/fast/963433","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","","","","","Broughton Island (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/9218563","","","","","","","","","","","","","narv_DudleyK_Harvard_0007.tif","https://doi.org/10.60807/cy0la3","1ec3407a0753a61cbd4514fe1c776124","COU:5023 | box 1 | folder 1 | sheet 1 | item 17","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","120","1255577","5533","narv_DudleyK_Harvard_0007.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~120~1255577"
"Ken Dudley Field Slides","Baffin Coastline between Broughton Island and Qivittu","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1969-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of an iceberg off the Baffin Coastline between Broughton Island and Kivitoo.","","Coasts","http://id.worldcat.org/fast/865801","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Icebergs","http://id.worldcat.org/fast/966632","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Mountains","http://id.worldcat.org/fast/1028366","","","Broughton Island (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/9218563","","","","","Kivitoo (Nunavut, Canada, North and Central America) (locale)","http://vocab.getty.edu/page/tgn/9220803","","","","","Baffin (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/7013003","narv_DudleyK_Harvard_0037.tif","https://doi.org/10.60807/91jz36","181017abc8379d59c8f531aa949a8dbe","COU:5023 | box 1 | folder 1 | sheet 3 | item 15","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","150","1255547","5533","narv_DudleyK_Harvard_0037.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~150~1255547"
"Ken Dudley Field Slides","Base camp at Qivittu, Baffin Island. INSTAAR Expedition of 1969","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1969-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of unidentified Institute of Arctic and Alpine Research (INSTAAR) members at Kivitoo, Baffin Island base camp standing around tents.","","Tents","http://id.worldcat.org/fast/1147746","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Mountains","http://id.worldcat.org/fast/1028366","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Coasts","http://id.worldcat.org/fast/865801","","","Baffin (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/7013003","Beaches","http://id.worldcat.org/fast/829107","","","Kivitoo (Nunavut, Canada, North and Central America) (locale)","http://vocab.getty.edu/page/tgn/9220803","","","","","","","narv_DudleyK_Harvard_0039.tif","https://doi.org/10.60807/p2lxwd","965c93bdf7c85000116903443e26fe99","COU:5023 | box 1 | folder 1 | sheet 3 | item 18","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","152","1255545","5533","narv_DudleyK_Harvard_0039.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~152~1255545"
"Ken Dudley Field Slides","Boat with field staff","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1970-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of unidentified field staff on a boat.","","Boats and boating","http://id.worldcat.org/fast/835176","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Coasts","http://id.worldcat.org/fast/865801","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Ice floes","http://id.worldcat.org/fast/1743902","","","","","","","","","","","","","","","","","narv_DudleyK_Harvard_0075.tif","https://doi.org/10.60807/xg8muk","3a2611d31da2da6d94128959cadf9ec3","COU:5023 | box 1 | folder 1 | sheet 7 | item 25","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","188","1255509","5533","narv_DudleyK_Harvard_0075.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~188~1255509"
"Ken Dudley Field Slides","Broughton Island settlement","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1970-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of a settlement on the coast of Broughton Island.","","Coasts","http://id.worldcat.org/fast/865801","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Human settlements","http://id.worldcat.org/fast/963433","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","","","","","Broughton Island (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/9218563","","","","","","","","","","","","","narv_DudleyK_Harvard_0080.tif","https://doi.org/10.60807/ji8rpa","279bd8a64a63167cb053fb309f4b4222","COU:5023 | box 1 | folder 1 | sheet 8 | item 2","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","193","1255504","5533","narv_DudleyK_Harvard_0080.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~193~1255504"
"Ken Dudley Field Slides","Broughton Island settlement from airstrip","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1969-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of Broughton Island settlement taken from an airstrip.","","Human settlements","http://id.worldcat.org/fast/963433","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Runways (Aeronautics)","http://id.worldcat.org/fast/1101423","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Coasts","http://id.worldcat.org/fast/865801","","","Broughton Island (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/9218563","","","","","","","","","","","","","narv_DudleyK_Harvard_0004.tif","https://doi.org/10.60807/gaocp6","2b212691feb8921bdec47b08209dbf86","COU:5023 | box 1 | folder 1 | sheet 1 | item 14","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","117","1255580","5533","narv_DudleyK_Harvard_0004.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~117~1255580"
"Ken Dudley Field Slides","Camp on Canso Channel below Broughton Island on archaeological dig for INSTAAR","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1969-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of a campsite on Canso Channel below Broughton Island on an archaeological dig for the Institute of Arctic and Alpine Research (INSTAAR)","","Camp sites, facilities, etc.","http://id.worldcat.org/fast/844798","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Mountains","http://id.worldcat.org/fast/1028366","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","River channels","http://id.worldcat.org/fast/1098277","","","Broughton Island (Nunavut, Canada, North and Central America) (island)","http://vocab.getty.edu/page/tgn/9218563","Tents","http://id.worldcat.org/fast/1147746","","","","","Boats and boating","http://id.worldcat.org/fast/835176","","","","","narv_DudleyK_Harvard_0010.tif","https://doi.org/10.60807/5omflf","8e328023bc21f01f55040bee91ce8192","COU:5023 | box 1 | folder 1 | sheet 1 | item 20","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","123","1255574","5533","narv_DudleyK_Harvard_0010.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~123~1255574"
"Ken Dudley Field Slides","Cleaning char for a late snack under mid-night sun Base Camp, Mouth of Narpang Fjord","Proper","Dudley, K. F. (Kenneth F.), 1920-1994","http://id.loc.gov/authorities/names/no2025135759","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","1970-09","2026","1 photographic slide; 2"" x 2""","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","35mm (photographic film size)","http://vocab.getty.edu/page/aat/300263816","A photograph of an unidentified person cleaning a char (fish) for a late-night snack under midnight sun at Base Camp at the mouth of Narpang Fjord.","","Equipment and supplies","http://id.worldcat.org/fast/1352983","University of Colorado Boulder. Institute of Arctic and Alpine Research","http://id.worldcat.org/fast/609814","Nunavut (Canada, North and Central America) (territory)","http://vocab.getty.edu/page/tgn/7024197","Tents","http://id.worldcat.org/fast/1147746","","","Auyuittuq National Park (Nunavut, Canada, North and Central America) (park)","http://vocab.getty.edu/page/tgn/9218036","Men","http://id.worldcat.org/fast/1015978","","","","","Arctic char","http://id.worldcat.org/fast/814135","","","","","","","","","","","narv_DudleyK_Harvard_0101.tif","https://doi.org/10.60807/lw4x6h","edaed99d647930a7f08eae08f492d68d","COU:5023 | box 1 | folder 1 | sheet 10 | item 17","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","214","1255483","5533","narv_DudleyK_Harvard_0101.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~59~59~214~1255483"
